rank,model_name,cv_runtime_seconds,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_std_accuracy,cv_std_precision,cv_std_recall,cv_std_f1,cv_std_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
1,logistic_regression,0.5836,0.980404492991624,0.2674851464325148,0.8083333333333333,0.3996033360879438,0.9870062557754178,0.0039902538445964,0.0378261648711318,0.0806225774829855,0.0437893245699159,0.0076150631109233,0.9764514819326026,0.24,0.9473684210526316,0.3829787234042553,0.992182789215264
2,random_forest,3.1269,0.9926896334813984,0.6633333333333333,0.1683333333333333,0.2652631578947368,0.9800906195218064,0.0010451024021702,0.2477453890141606,0.0694522217867154,0.1021974624422734,0.0170103654558046,0.9918798213560698,0.4285714285714285,0.1578947368421052,0.2307692307692307,0.983924110603842
3,xgboost,1.5477,0.9925881621993694,0.5476190476190477,0.2983333333333333,0.3795857121944078,,0.0012262620400564,0.1027540267954289,0.1291155812957264,0.1246101802950865,,0.9930978481526592,0.5714285714285714,0.4210526315789473,0.4848484848484848,0.99173055388061
