feature_name,importance
adrtg,3.6457323747712485
ast_per,2.7935253197687238
min_per,2.7735570232301954
ast_tov,2.3314659787595002
to_per,2.2964573975236697
pts,2.077059047079072
usg,1.8387789290377616
dreb,1.6448552539102357
twopm,1.5393309933964585
conf_a10,1.347550388495625
gp,1.3364559410157641
dunksmade,1.3165159900052392
drtg,1.0777715744002005
blk_per,1.0651974513456535
conf_sec,1.0376263321220862
tpm,1.035505243248386
drb_per,1.0331948994340867
rim_ratio,0.951771130398723
ht_8_jun,0.9178869541452848
conf_acc,0.9115645712712742
conf_b12,0.9064055411190252
conf_p10,0.8926755527784275
orb_per,0.8864415692414094
pfr,0.8678661566087292
ht_10_jun,0.8505841367083596
ht_2_jun,0.8251377067531158
stl_per,0.8066403880292784
conf_p12,0.7972121360923411
conf_wcc,0.7662487415367111
oreb,0.7341377794970795
ast,0.6906629711827429
ht_10_may,0.6827536912791882
conf_be,0.6728596780540764
conf_sb,0.6426023374527359
ht_RARE,0.5928806745163495
ht_jun_00,0.5795807479842207
conf_ae,0.5587271799637458
ht_7_jun,0.5442337738452768
conf_mac,0.5239771703741943
twop_per,0.5048542019837692
conf_bsth,0.49166318233478007
efg,0.4669899098198623
conf_sc,0.4549096545302348
conf_wac,0.4490792522452252
conf_pat,0.43586268594610794
ht_5_jun,0.41612270649328686
ht_11_jun,0.4085215450623896
ht_11_may,0.4046523972584449
conf_sum,0.4002897389756882
ht_3_jun,0.3982840366654627
conf_horz,0.37907675635875715
conf_ovc,0.36507884916653954
conf_mvc,0.3611180540896593
rimmade,0.3349816893016925
conf_amer,0.30590530319644166
mid_ratio,0.2893223197554776
conf_mwc,0.25589630073781794
conf_ivy,0.2534294019280835
conf_caa,0.22639073594210835
conf_maac,0.21301480395999198
ht_1_jun,0.20874355022878102
conf_asun,0.19129012209209437
ht_jul_00,0.1862648536364432
conf_cusa,0.1584247653124304
ht_9_jun,0.15417313847529304
year,0.14559839717556478
conf_b10,0.1455940887484017
ht_9_may,0.13156766930765793
conf_nec,0.1186814438026739
ortg,0.11676651178932904
ft_per,0.10046102671200322
conf_bsky,0.07436164219844288
tp_per,0.06971209991298549
conf_slnd,0.06761646753496695
conf_RARE,0.05900567126367372
conf_bw,0.053154940267976084
ftm,0.050535394548859885
ht_4_jun,0.0444457804093154
midmade,0.04386920807526964
ts_per,0.03596648195516079
conf_swac,0.02590724824928604
blk,0.022393856941790163
stl,0.020562440866439935
ht_6_jun,0.014004552917751153
ftr,0.01116680961213079
conf_meac,0.0032020819907383263
team_RARE,0.0
