rank,model_name,cv_runtime_seconds,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_std_accuracy,cv_std_precision,cv_std_recall,cv_std_f1,cv_std_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
1,logistic_regression,0.5836,0.9804044929916239,0.26748514643251486,0.8083333333333333,0.3996033360879438,0.9870062557754178,0.003990253844596435,0.037826164871131863,0.0806225774829855,0.04378932456991598,0.007615063110923398,0.9764514819326026,0.24,0.9473684210526315,0.3829787234042553,0.992182789215264
2,random_forest,3.1269,0.9926896334813984,0.6633333333333333,0.1683333333333333,0.2652631578947368,0.9800906195218063,0.0010451024021702383,0.24774538901416063,0.06945222178671544,0.10219746244227343,0.017010365455804668,0.9918798213560698,0.42857142857142855,0.15789473684210525,0.23076923076923078,0.9839241106038419
3,xgboost,1.5477,0.9925881621993694,0.5476190476190477,0.2983333333333333,0.37958571219440784,,0.001226262040056464,0.10275402679542897,0.1291155812957264,0.12461018029508657,,0.9930978481526593,0.5714285714285714,0.42105263157894735,0.48484848484848486,0.9917305538806099
